model,accession,phage,metadata,host,taxonomic_level,host_reasoning,host_confidence,host_source,host_found,thermal_range,temperature,thermal_reasoning,thermal_confidence,thermal_found,paper_dir,host_paper_dir,duration,decision,nodes,timings,JSONDecodeError,thermal_source,inference_type,host_paper,thermal_paper,error_message
gemma4:e4b,YDI88709,Escherichia phage phiM,"{""uid"": ""3234272369"", ""accession"": ""YDI88709"", ""title"": ""RecA-like recombination protein [Escherichia phage phiM]"", ""organism"": ""Escherichia phage phiM"", ""taxonId"": 3687983, ""sequence_length"": 390, ""create_date"": ""2026/03/13"", ""update_date"": ""2026/03/13"", ""dbsource"": ""insd"", ""extra"": ""gi|3234272369|gb|YDI88709.1|"", ""host"": ""Escherichia coli"", ""country"": ""China: Tianjin"", ""collection_date"": ""Oct-2023""}",,,,,,False,mesophile,,"The text explicitly states the incubation conditions for bacterial growth and phage detection: ""Bacteria were routinely cultured in Lysogeny Broth (LB Lennox, Athena Enzyme Systems; Baltimore, MD, USA) or LB agar (1.2%) during 20 h at 37 °C."" Additionally, phage detection was performed by incubating the plate ""overnight at 37 °C within a ventilated incubator..."" and bacterial growth was monitored ""over 16–20 h at 37 °C"". Since 37°C falls within the mesophile range (15–45°C), the phage is associated with mesophilic conditions.",,True,TMP_results/accessions/YDI88709/library/accession_lit,,161.55,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature""]","{""ClassifyThermalMetadata"": 6.13, ""CreateAccessionLibrary"": 31.11, ""ClassifyThermalLiterature"": 124.31}",False,literature,explicit,,PMC12639943.1.txt,
gemma4:e4b,YDD38469,Escherichia phage vB_EcoM-DCSW23lw,"{""uid"": ""3196707878"", ""accession"": ""YDD38469"", ""title"": ""recombination protein [Escherichia phage vB_EcoM-DCSW23lw]"", ""organism"": ""Escherichia phage vB_EcoM-DCSW23lw"", ""taxonId"": 3685830, ""sequence_length"": 393, ""create_date"": ""2026/02/28"", ""update_date"": ""2026/02/28"", ""dbsource"": ""insd"", ""extra"": ""gi|3196707878|gb|YDD38469.1|"", ""lab_host"": ""Escherichia coli O157:H7 ATCC43888"", ""country"": ""USA: Davis City"", ""isolation_source"": ""sewage water""}",,,,,,False,mesophile,,"The lab host is 'Escherichia coli O157:H7 ATCC43888', which is typically associated with mesophilic environments. The isolation source is 'sewage water', which is also generally considered a mesophilic environment. No explicit temperature is given.",,True,TMP_results/accessions/YDD38469/library/accession_lit,,2.8,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.8}",False,metadata,inferred,,,
gemma4:e4b,YCR04191,Escherichia phage vB_EcoM_PhiSG_Ec1,"{""uid"": ""3156920341"", ""accession"": ""YCR04191"", ""title"": ""recombination and repair protein [Escherichia phage vB_EcoM_PhiSG_Ec1]"", ""organism"": ""Escherichia phage vB_EcoM_PhiSG_Ec1"", ""taxonId"": 3681726, ""sequence_length"": 393, ""create_date"": ""2026/02/04"", ""update_date"": ""2026/02/04"", ""dbsource"": ""insd"", ""extra"": ""gi|3156920341|gb|YCR04191.1|"", ""host"": ""Escherichia coli MCC2246"", ""country"": ""India: Mangalagiri, Andhra Pradesh"", ""isolation_source"": ""sewage"", ""collection_date"": ""10-Mar-2025"", ""collected_by"": ""Petchiyammal S""}",,,,,,False,mesophile,,"The isolation source is 'sewage', which typically implies mesophilic conditions. The host is 'Escherichia coli MCC2246', which is a common mesophilic bacterium.",,True,TMP_results/accessions/YCR04191/library/accession_lit,,2.23,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.23}",False,metadata,inferred,,,
gemma4:e4b,YCQ78089,Shewanella phage Persephone,"{""uid"": ""3153849337"", ""accession"": ""YCQ78089"", ""title"": ""UvsX recombination and repair protein [Shewanella phage Persephone]"", ""organism"": ""Shewanella phage Persephone"", ""taxonId"": 3591870, ""sequence_length"": 393, ""create_date"": ""2026/02/03"", ""update_date"": ""2026/02/03"", ""dbsource"": ""insd"", ""extra"": ""gi|3153849337|gb|YCQ78089.1|"", ""host"": ""Shewanella oneidensis MR-1"", ""country"": ""USA: College Station, TX"", ""isolation_source"": ""WWTP influent"", ""collection_date"": ""2022"", ""collected_by"": ""Ashlee Prejean""}",,,,,,False,mesophile,,"The isolation source is 'WWTP influent' (Wastewater Treatment Plant influent). Wastewater environments are generally considered mesophilic environments, as no specific extreme temperature is mentioned.",,True,TMP_results/accessions/YCQ78089/library/accession_lit,,2.31,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.31}",False,metadata,inferred,,,
gemma4:e4b,YCQ76618,Shewanella phage Hypnos,"{""uid"": ""3153809076"", ""accession"": ""YCQ76618"", ""title"": ""recombination and repair protein UvsX [Shewanella phage Hypnos]"", ""organism"": ""Shewanella phage Hypnos"", ""taxonId"": 3591861, ""sequence_length"": 386, ""create_date"": ""2026/02/03"", ""update_date"": ""2026/02/03"", ""dbsource"": ""insd"", ""extra"": ""gi|3153809076|gb|YCQ76618.1|"", ""host"": ""Shewanella oneidensis MR-1"", ""country"": ""USA: WWTP, Anahuac, TX"", ""isolation_source"": ""activated sludge"", ""collection_date"": ""2024"", ""collected_by"": ""Ashlee Prejean""}",,,,,,False,mesophile,,"The isolation source is 'activated sludge' and the country is 'USA: WWTP, Anahuac, TX'. Activated sludge and wastewater treatment plants typically represent mesophilic environments, which is the most appropriate classification based on the provided metadata.",,True,TMP_results/accessions/YCQ76618/library/accession_lit,,2.23,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.23}",False,metadata,inferred,,,
gemma4:e4b,P04529,Tequatrovirus T4,"{""uid"": ""14917058"", ""accession"": ""P04529"", ""title"": ""RecName: Full=Recombination and repair protein"", ""organism"": ""Tequatrovirus T4"", ""taxonId"": 10665, ""sequence_length"": 391, ""create_date"": ""1987/08/13"", ""update_date"": ""2026/01/28"", ""dbsource"": ""swiss_prot"", ""extra"": ""gi|14917058|sp|P04529.2|UVSX_BPT4"", ""host"": ""Escherichia coli""}",Escherichia coli,species,"The host is Escherichia coli, which is generally associated with mesophilic environments (e.g., gut, freshwater).",,metadata,True,mesophile,,"The text explicitly states the incubation temperatures used for the engineered E. coli strains: 1. For the initial knockout procedure, cells were recovered and grown at ""37 °C."" 2. For the construction of the pCDF-fucA plasmid, the reaction mixture was incubated at ""50 °C"" and then the competent cells were transformed, implying handling at temperatures around this range, but the subsequent growth was at 37 °C. 3. For the main culture conditions, the engineered strains were ""incubated at 30 °C with shaking at 180 rpm."" 4. For the final analysis of l-fuculose, methoximation was done at ""30 °C"" and silylation at ""37 °C."" Since the primary growth and culture conditions are consistently reported around 30–37°C, this falls within the mesophile range (15–45°C).",,True,TMP_results/accessions/P04529/library/accession_lit,TMP_results/accessions/P04529/library/host_lit,139.06,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature""]","{""ClassifyThermalMetadata"": 2.1, ""CreateAccessionLibrary"": 16.33, ""ClassifyThermalLiterature"": 3.28, ""ClassifyHostMetadata"": 2.37, ""ClassifyThermalRangeHostLiterature"": 85.86}",False,host_literature,explicit,,PMC13175319.1.txt,
gemma4:e4b,YCL39723,Aeromonas phage pAQF2A-18ST,"{""uid"": ""3140602750"", ""accession"": ""YCL39723"", ""title"": ""recombination protein UvsX RecA [Aeromonas phage pAQF2A-18ST]"", ""organism"": ""Aeromonas phage pAQF2A-18ST"", ""taxonId"": 3570246, ""sequence_length"": 364, ""create_date"": ""2026/01/17"", ""update_date"": ""2026/01/17"", ""dbsource"": ""insd"", ""extra"": ""gi|3140602750|gb|YCL39723.1|"", ""host"": ""Aeromonas veronii GDQ25F2A"", ""isolation_source"": ""water""}",,,,,,False,mesophile,,"The isolation source is 'water'. In the absence of specific temperature data, 'water' is generally associated with mesophilic environments.",,True,TMP_results/accessions/YCL39723/library/accession_lit,,2.46,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.46}",False,metadata,inferred,,,
gemma4:e4b,YCL15783,Escherichia phage BASUE2,"{""uid"": ""3140421276"", ""accession"": ""YCL15783"", ""title"": ""protein RecA [Escherichia phage BASUE2]"", ""organism"": ""Escherichia phage BASUE2"", ""taxonId"": 3242823, ""sequence_length"": 361, ""create_date"": ""2026/01/14"", ""update_date"": ""2026/01/14"", ""dbsource"": ""insd"", ""extra"": ""gi|3140421276|gb|YCL15783.1|"", ""host"": ""Escherichia coli"", ""note"": ""lytic"", ""country"": ""India: Patna"", ""isolation_source"": ""cattle farm sewage"", ""collection_date"": ""2020"", ""collected_by"": ""Anjay""}",,,,,,False,mesophile,,"The isolation source is 'cattle farm sewage'. Sewage environments are typically associated with mesophilic conditions, and the host, 'Escherichia coli', is generally considered a mesophile.",,True,TMP_results/accessions/YCL15783/library/accession_lit,,2.19,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.19}",False,metadata,inferred,,,
gemma4:e4b,YCL00421,Staphylococcus phage EFLK1_S,"{""uid"": ""3140192963"", ""accession"": ""YCL00421"", ""title"": ""recA DNA recombination protein [Staphylococcus phage EFLK1_S]"", ""organism"": ""Staphylococcus phage EFLK1_S"", ""taxonId"": 3477141, ""sequence_length"": 415, ""create_date"": ""2026/01/13"", ""update_date"": ""2026/01/13"", ""dbsource"": ""insd"", ""extra"": ""gi|3140192963|gb|YCL00421.1|"", ""host"": ""Staphylococcus aureus"", ""country"": ""Egypt"", ""isolation_source"": ""raw sewage"", ""collection_date"": ""15-Oct-2024""}",,,,,,False,mesophile,,"The text explicitly states that bacterial colonies were grown at 37°C: ""These colonies were then collected and grown at 37°C and checked numerous times for their resistant characteristics against the phage."" Furthermore, multiple procedures involving phage activity and bacterial growth were incubated at 37°C: ""About 100 μl of bacteria was mixed with 100 μl of phage lysate and incubated for 20 min at 37°C to achieve better adsorption of the phage to the bacteria. The entire mixture was then added to 5 ml of melted 0.6% BHI top agar, poured evenly onto a BHI agar plate and incubated overnight at 37°C."" and ""The phage was grown in BHI broth with EFV583 bacteria until a titer of 109 or higher was achieved. ... This plate was incubated overnight at 37°C and the numbers of plaques were counted to finally calculate the PFU/ml."" The host bacterium, *Enterococcus faecalis*, is typically mesophilic, and the experimental conditions consistently use 37°C, which falls within the mesophile range (15–45°C).",,True,TMP_results/accessions/YCL00421/library/accession_lit,,39.56,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature""]","{""ClassifyThermalMetadata"": 2.1, ""CreateAccessionLibrary"": 11.74, ""ClassifyThermalLiterature"": 25.72}",False,literature,explicit,,PMC5835721.1.txt,
gemma4:e4b,YCJ26573,Escherichia phage PG3,"{""uid"": ""3137130861"", ""accession"": ""YCJ26573"", ""title"": ""putative DNA recombination and repair protein RecA [Escherichia phage PG3]"", ""organism"": ""Escherichia phage PG3"", ""taxonId"": 3489668, ""sequence_length"": 393, ""create_date"": ""2026/01/05"", ""update_date"": ""2026/01/05"", ""dbsource"": ""insd"", ""extra"": ""gi|3137130861|gb|YCJ26573.1|"", ""lab_host"": ""Escherichia coli DH5alpha"", ""country"": ""Argentina: Tandil, Buenos Aires"", ""isolation_source"": ""bovine feces"", ""collection_date"": ""19-Oct-2021"", ""collected_by"": ""Ana Elisa Juarez and Paula Maria Alejandra Lucchesi""}",,,,,,False,mesophile,,"The lab host is 'Escherichia coli DH5alpha' and the isolation source is 'bovine feces'. Escherichia coli is generally considered a mesophile, and feces are typically associated with mesophilic environments. No explicit temperature is given.",,True,TMP_results/accessions/YCJ26573/library/accession_lit,,2.66,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.66}",False,metadata,inferred,,,
gemma4:e4b,YCJ26308,Escherichia phage L73,"{""uid"": ""3137130595"", ""accession"": ""YCJ26308"", ""title"": ""putative DNA recombination and repair protein [Escherichia phage L73]"", ""organism"": ""Escherichia phage L73"", ""taxonId"": 3489667, ""sequence_length"": 393, ""create_date"": ""2026/01/05"", ""update_date"": ""2026/01/05"", ""dbsource"": ""insd"", ""extra"": ""gi|3137130595|gb|YCJ26308.1|"", ""lab_host"": ""Escherichia coli DH5alpha"", ""country"": ""Argentina: Tandil, Buenos Aires"", ""isolation_source"": ""dairy farm effluent"", ""collection_date"": ""22-Mar-2021"", ""collected_by"": ""Ana Elisa Juarez and Paula Maria Alejandra Lucchesi""}",,,,,,False,mesophile,,"The lab host is 'Escherichia coli DH5alpha' and the isolation source is 'dairy farm effluent'. Escherichia coli is generally considered a mesophile, and dairy farm effluent suggests an environment compatible with mesophilic organisms. No explicit temperature is given.",,True,TMP_results/accessions/YCJ26308/library/accession_lit,,2.27,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.27}",False,metadata,inferred,,,
gemma4:e4b,YCJ17403,Pseudomonas phage vB_PaeS_YN02,"{""uid"": ""3137076974"", ""accession"": ""YCJ17403"", ""title"": ""putative RecA protein [Pseudomonas phage vB_PaeS_YN02]"", ""organism"": ""Pseudomonas phage vB_PaeS_YN02"", ""taxonId"": 3455038, ""sequence_length"": 400, ""create_date"": ""2026/01/04"", ""update_date"": ""2026/01/04"", ""dbsource"": ""insd"", ""extra"": ""gi|3137076974|gb|YCJ17403.1|"", ""host"": ""Pseudomonas aeruginosa 2024-DL02 (clinical strain)"", ""country"": ""China"", ""isolation_source"": ""wastewater"", ""collection_date"": ""2024""}",,,,,,False,mesophile,,"The host is 'Pseudomonas aeruginosa 2024-DL02 (clinical strain)' and the isolation source is 'wastewater'. Clinical strains and wastewater environments are typically associated with mesophilic conditions, although no explicit temperature is given.",,True,TMP_results/accessions/YCJ17403/library/accession_lit,,2.24,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.24}",False,metadata,inferred,,,
gemma4:e4b,WIL02624,Salmonella phage ST-W49,"{""uid"": ""2514756875"", ""accession"": ""WIL02624"", ""title"": ""RecA-like recombination protein [Salmonella phage ST-W49]"", ""organism"": ""Salmonella phage ST-W49"", ""taxonId"": 3038199, ""sequence_length"": 361, ""create_date"": ""2025/12/31"", ""update_date"": ""2025/12/31"", ""dbsource"": ""insd"", ""extra"": ""gi|2514756875|gb|WIL02624.1|"", ""host"": ""Salmonella enterica subsp. enterica serovar Typhimurium"", ""country"": ""Thailand"", ""isolation_source"": ""sewage""}",,,,,,False,mesophile,,"The paper states that the phage PH215 ""demonstrated remarkable environmental stability, sustaining infectivity across a wide pH range (2-11) and at temperatures from 4 to 50 °C."" Since the optimal growth range for mesophiles is 15–45°C, and the tested range (4–50°C) encompasses this range, and the highest tested temperature (50°C) is near the upper limit of mesophilic activity, we classify it as mesophile based on the provided range.",high,True,TMP_results/accessions/WIL02624/library/accession_lit,,85.75999999999999,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature""]","{""ClassifyThermalMetadata"": 1.94, ""CreateAccessionLibrary"": 20.52, ""ClassifyThermalLiterature"": 63.3}",False,literature,explicit,,42140025.txt,
