accession,full_sequence_hmm_results,PF00154_custom_hmm_results,PF00154_hmm_results,PF21134_custom_hmm_results,PF21134_hmm_results
P32270,0,0,0,0,0
P20315,0,0,0,0,0
UYE93698,0,0,0,0,0
YDI96965,0,0,1,0,0
YDI96730,0,0,1,0,0
YDI94796,0,0,0,0,0
YDI94551,1,1,1,0,0
YDI93881,0,0,0,0,0
YDI88709,1,1,1,1,1
YCJ21993,0,0,0,0,0
YDF88887,0,0,0,0,0
YDF81549,0,0,0,0,0
YDF75915,0,0,0,0,0
YDF71083,0,0,0,0,0
YDF68759,0,0,0,0,0
YDF68054,0,0,0,0,0
YDF61728,0,0,0,0,0
YDD38469,1,1,1,1,1
YDD21067,0,0,1,0,0
BHD21371,0,0,0,0,0
YCZ41734,0,0,0,0,0
QVG64171,1,1,1,0,0
YCR04191,1,1,1,1,1
YCQ84975,0,0,1,0,0
YCQ78089,1,1,1,1,1
YCQ76618,1,1,1,1,1
YCP71262,1,1,1,0,0
P04529,1,1,1,1,1
O21960,0,0,0,0,0
O21959,0,0,0,0,0
O21958,0,0,0,0,0
O21957,0,0,0,0,0
O21956,0,0,0,0,0
O21955,0,0,0,0,0
O21954,0,0,0,0,0
O21953,0,0,0,0,0
O21952,0,0,0,0,0
O21951,0,0,0,0,0
O21950,0,0,0,0,0
O21949,0,0,0,0,0
O21947,0,0,0,0,0
O21948,0,0,0,0,0
Q06728,0,0,0,0,0
Q06727,0,0,0,0,0
Q05279,0,0,0,0,0
P04537,0,0,0,0,0
P03690,0,0,0,0,0
P03034,0,0,0,0,0
P41662,0,0,0,0,0
YCN14603,1,1,1,0,0
YCL39723,1,1,1,1,1
YCL15783,1,1,1,0,1
YCL08720,0,0,0,0,0
YCL00421,1,1,1,0,0
CAO1708119,1,1,1,0,0
CAO1706767,1,1,1,0,0
CAO1704744,1,1,1,0,0
CAO1703685,1,1,1,0,0
CAO1702903,1,1,1,0,0
CAO1702236,1,1,1,0,0
CAO1702439,1,1,1,0,0
YCJ26573,1,1,1,1,1
YCJ26308,1,1,1,1,1
YCJ24104,0,0,0,0,0
YCJ17403,1,1,1,0,0
