accession,PF00154_results,PF00154_domain_results,PF21134_domain_results,gold_standards_results,PF21134_results,Walker_A,Walker_B
YDI94551,1,0,0,1,0,1,1
YDI88709,1,1,1,1,1,1,1
YDD38469,1,1,1,1,1,1,1
YCR04191,1,1,1,1,1,1,1
YCQ78089,1,1,1,1,1,1,1
YCQ76618,1,1,1,1,1,1,1
YCP71262,1,0,0,1,0,1,1
P04529,1,1,1,1,1,1,1
P41662,0,0,0,0,0,0,0
YCN14603,1,0,0,1,0,1,1
YCL39723,1,1,1,1,1,1,1
YCL15783,1,1,0,1,1,1,1
YCL00421,1,1,0,1,0,1,1
YCJ26573,1,1,1,1,1,1,1
YCJ26308,1,1,1,1,1,1,1
YCJ17403,1,1,0,1,0,1,1
WIL02624,1,1,0,1,1,1,1
WIL02365,1,1,0,1,1,1,1
QSM00476,1,1,1,1,1,0,1
YCB26705,1,1,1,1,1,1,1
YCB25778,1,1,1,1,1,1,1
YCB15776,1,1,1,1,1,1,1
YCA88998,1,1,0,1,1,1,1
YP_011557350,1,0,0,0,0,1,1
WRQ12700,1,1,1,1,1,1,1
YBW68348,1,1,1,1,1,1,1
YBW02273,1,1,1,1,1,1,1
YBW00969,1,0,0,1,0,1,1
XKC24455,1,1,0,1,0,1,1
UGC96822,1,1,0,1,0,1,1
YBB95084,1,1,0,1,0,1,1
YAW78710,1,1,1,1,0,1,1
YP_011872756,1,0,0,1,0,1,1
YP_012053798,0,0,0,0,0,1,1
YP_011925980,1,0,0,1,0,1,1
YP_013537867,0,0,0,0,0,0,1
UCR81688,1,1,1,1,1,1,1
YAA50864,1,0,0,1,0,1,1
WNM70829,1,1,0,1,1,1,1
YP_013606416,1,1,0,1,0,1,1
XZP17675,1,1,1,1,1,1,1
XCZ64124,1,1,0,1,0,1,1
XEN39446,1,1,1,1,1,1,1
XYS98208,1,1,1,1,1,1,1
XYR95885,1,1,0,1,0,1,1
XYR95683,1,1,0,1,0,1,1
DBB19697,1,0,0,1,0,1,1
XYN56207,0,0,0,0,0,1,1
XYM58971,1,1,0,1,0,1,1
XYM58736,1,1,0,1,0,1,1
XYM57640,1,1,0,1,0,1,1
XXS07581,1,1,1,1,1,1,1
XXQ04733,1,1,0,1,0,1,1
XSG53046,1,1,0,1,0,1,1
XXL68479,1,1,1,1,1,1,1
XXJ63011,1,1,1,1,1,1,1
XXJ62871,1,1,1,1,1,1,1
XWJ58874,0,0,0,0,0,1,1
XVB94676,1,1,1,1,1,1,1
XVB70918,1,0,0,1,0,1,1
QWY14387,1,0,1,1,1,1,1
XAN60209,1,1,1,1,1,1,1
XRQ87699,0,1,1,1,1,1,1
XRM24437,1,1,0,1,0,1,1
XRA13571,0,0,0,0,0,1,1
XQU42776,1,1,1,1,1,1,1
XQU63049,1,1,0,1,0,1,1
XQU59788,1,1,0,1,1,1,1
XQU49485,1,1,1,1,1,1,1
XQQ51888,1,1,1,1,1,1,1
XQQ51607,1,1,1,1,1,1,1
XQQ51411,1,1,1,1,1,1,1
XQQ50854,1,1,0,1,0,1,1
XQP02554,1,1,0,1,0,1,1
XQO94789,1,1,0,1,1,1,1
XPP60222,1,1,1,1,1,1,1
XPP56688,1,1,0,1,1,1,0
XPO97844,1,1,1,1,1,1,1
XPO95924,1,0,0,1,0,1,1
XPN62819,1,1,1,1,1,1,1
XPN40897,1,0,0,1,0,1,1
XPN40694,1,0,0,1,0,1,1
XPB69684,0,0,0,0,0,1,1
XOT39798,1,1,0,1,0,1,1
XOS70336,1,1,0,1,0,1,1
XOS69840,1,1,0,1,0,1,1
XOS68277,0,0,0,0,0,1,1
XOS61832,1,0,0,1,0,1,1
XOS59471,1,0,0,1,0,1,1
XOS57001,1,1,0,1,0,1,1
XOS40286,0,0,0,0,0,1,1
XOS37541,0,0,0,0,0,1,1
XOS32638,1,1,0,1,0,1,1
XOS28573,1,1,0,1,0,1,1
XOS28292,1,1,0,1,0,1,1
XOS25364,1,1,0,1,0,1,1
XOS13405,1,1,0,1,0,1,1
XOS10110,1,1,0,1,0,1,1
XOS09896,0,0,0,0,0,1,1
XOS08265,1,1,0,1,0,1,1
XOS01475,0,0,0,0,0,1,1
XOR94015,0,0,0,0,0,1,1
XOR90835,0,0,0,0,0,1,1
XOR85385,1,1,0,1,0,1,1
XOR83761,0,0,0,0,0,1,1
XOR76662,0,0,0,0,0,1,1
XOR76507,1,1,0,1,0,0,1
XOR58766,0,0,0,0,0,1,1
XOR55866,1,0,0,1,0,1,0
XOR46943,0,0,0,0,0,1,1
XOR42131,1,0,0,1,0,1,1
XOR29570,1,0,0,0,0,0,1
XOR28499,1,1,0,1,0,1,1
XOR23144,0,0,0,0,0,1,1
XOR21361,0,0,0,0,0,1,1
XOR17278,1,0,0,1,0,1,1
XOR12127,0,0,0,0,0,1,1
XOR09214,0,0,0,0,0,1,1
XOR07006,0,0,0,0,0,1,1
XOR06191,0,0,0,0,0,0,1
XOR01118,1,0,0,1,0,1,1
XOQ94942,1,1,0,1,0,1,1
XOQ90751,0,0,0,0,0,1,1
XOQ90748,0,0,0,0,0,1,1
XOF00632,0,0,0,0,0,1,1
XOF00050,1,0,0,0,0,0,1
XOE96625,0,0,0,0,0,1,1
XOE95119,1,1,0,1,0,1,1
XOD41043,1,1,1,1,1,1,1
XOD32333,1,1,1,1,1,1,1
XOD32076,1,1,1,1,1,1,1
XOD31821,1,1,1,1,1,1,1
XOD31540,1,1,1,1,1,1,1
XOB77366,1,0,0,1,0,1,1
XOA07903,1,1,1,1,1,1,1
XNZ86301,1,0,0,1,0,1,1
BFL60880,1,0,0,0,0,1,1
XLQ30668,1,1,1,1,1,1,1
XNO95088,0,0,0,0,0,0,1
XMR90074,1,1,1,1,1,1,1
XBS49454,1,1,1,1,1,1,1
BFM22914,1,0,0,0,0,1,1
XMR01857,1,1,1,1,0,1,1
XMR01270,1,1,1,1,1,1,1
