model,accession,phage,metadata,host,taxonomic_level,host_reasoning,host_confidence,host_source,host_found,thermal_range,temperature,thermal_reasoning,thermal_confidence,thermal_found,paper_dir,paper_dir_size,host_paper_dir,host_paper_dir_size,duration,decision,nodes,timings,JSONDecodeError,thermal_source,inference_type,host_paper,thermal_paper,thermal_votes,thermal_reasoning_file,error_message
gemma4:e4b,YDI88709,Escherichia phage phiM,"{""uid"": ""3234272369"", ""accession"": ""YDI88709"", ""title"": ""RecA-like recombination protein [Escherichia phage phiM]"", ""organism"": ""Escherichia phage phiM"", ""taxonId"": 3687983, ""sequence_length"": 390, ""create_date"": ""2026/03/13"", ""update_date"": ""2026/03/13"", ""dbsource"": ""insd"", ""extra"": ""gi|3234272369|gb|YDI88709.1|"", ""host"": ""Escherichia coli"", ""country"": ""China: Tianjin"", ""collection_date"": ""Oct-2023""}",Escherichia coli,species,The metadata explicitly contains the key 'host' with the value 'Escherichia coli'.,,metadata,True,mesophile,,,,False,TMP_results/accessions/YDI88709/library/accession_lit,5,TMP_results/accessions/YDI88709/library/host_lit,9,428.33,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalMetadataVote"", ""ClassifyThermalLiteratureVotes"", ""ClassifyThermalRangeHostLiterature"", ""ClassifyThermalForcedVote""]","{""CreateAccessionLibrary"": 27.8, ""ClassifyHostMetadata"": 4.22, ""ClassifyThermalMetadataVote"": 2.39, ""ClassifyThermalLiteratureVotes"": 173.46, ""ClassifyThermalRangeHostLiterature"": 187.95, ""ClassifyThermalForcedVote"": 4.28}",False,,,,,"{'thermophile': 0, 'psychrophile': 0, 'mesophile': 2, 'none': 1}",TMP_results/accessions/YDI88709/reasoning/reasoning.txt,
gemma4:e4b,YDD38469,Escherichia phage vB_EcoM-DCSW23lw,"{""uid"": ""3196707878"", ""accession"": ""YDD38469"", ""title"": ""recombination protein [Escherichia phage vB_EcoM-DCSW23lw]"", ""organism"": ""Escherichia phage vB_EcoM-DCSW23lw"", ""taxonId"": 3685830, ""sequence_length"": 393, ""create_date"": ""2026/02/28"", ""update_date"": ""2026/02/28"", ""dbsource"": ""insd"", ""extra"": ""gi|3196707878|gb|YDD38469.1|"", ""lab_host"": ""Escherichia coli O157:H7 ATCC43888"", ""country"": ""USA: Davis City"", ""isolation_source"": ""sewage water""}",Escherichia coli O157:H7 ATCC43888,strain,The metadata explicitly states 'lab_host': 'Escherichia coli O157:H7 ATCC43888'.,,metadata,True,mesophile,,,,False,TMP_results/accessions/YDD38469/library/accession_lit,5,TMP_results/accessions/YDD38469/library/host_lit,9,277.55,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalMetadataVote"", ""ClassifyThermalLiteratureVotes"", ""ClassifyThermalRangeHostLiterature"", ""ClassifyThermalForcedVote""]","{""CreateAccessionLibrary"": 20.79, ""ClassifyHostMetadata"": 2.49, ""ClassifyThermalMetadataVote"": 2.77, ""ClassifyThermalLiteratureVotes"": 53.04, ""ClassifyThermalRangeHostLiterature"": 167.23, ""ClassifyThermalForcedVote"": 4.07}",False,,,,,"{'thermophile': 0, 'psychrophile': 0, 'mesophile': 6, 'none': 0}",TMP_results/accessions/YDD38469/reasoning/reasoning.txt,
gemma4:e4b,YCR04191,Escherichia phage vB_EcoM_PhiSG_Ec1,"{""uid"": ""3156920341"", ""accession"": ""YCR04191"", ""title"": ""recombination and repair protein [Escherichia phage vB_EcoM_PhiSG_Ec1]"", ""organism"": ""Escherichia phage vB_EcoM_PhiSG_Ec1"", ""taxonId"": 3681726, ""sequence_length"": 393, ""create_date"": ""2026/02/04"", ""update_date"": ""2026/02/04"", ""dbsource"": ""insd"", ""extra"": ""gi|3156920341|gb|YCR04191.1|"", ""host"": ""Escherichia coli MCC2246"", ""country"": ""India: Mangalagiri, Andhra Pradesh"", ""isolation_source"": ""sewage"", ""collection_date"": ""10-Mar-2025"", ""collected_by"": ""Petchiyammal S""}",Escherichia coli MCC2246,strain,The metadata explicitly states the 'host' as 'Escherichia coli MCC2246'.,,metadata,True,mesophile,,,,False,TMP_results/accessions/YCR04191/library/accession_lit,2,TMP_results/accessions/YCR04191/library/host_lit,6,178.80999999999997,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalMetadataVote"", ""ClassifyThermalLiteratureVotes"", ""ClassifyThermalRangeHostLiterature"", ""ClassifyThermalForcedVote""]","{""CreateAccessionLibrary"": 13.58, ""ClassifyHostMetadata"": 2.21, ""ClassifyThermalMetadataVote"": 2.61, ""ClassifyThermalLiteratureVotes"": 89.71, ""ClassifyThermalRangeHostLiterature"": 52.4, ""ClassifyThermalForcedVote"": 4.64}",False,,,,,"{'thermophile': 0, 'psychrophile': 0, 'mesophile': 3, 'none': 0}",TMP_results/accessions/YCR04191/reasoning/reasoning.txt,
gemma4:e4b,YCQ78089,Shewanella phage Persephone,"{""uid"": ""3153849337"", ""accession"": ""YCQ78089"", ""title"": ""UvsX recombination and repair protein [Shewanella phage Persephone]"", ""organism"": ""Shewanella phage Persephone"", ""taxonId"": 3591870, ""sequence_length"": 393, ""create_date"": ""2026/02/03"", ""update_date"": ""2026/02/03"", ""dbsource"": ""insd"", ""extra"": ""gi|3153849337|gb|YCQ78089.1|"", ""host"": ""Shewanella oneidensis MR-1"", ""country"": ""USA: College Station, TX"", ""isolation_source"": ""WWTP influent"", ""collection_date"": ""2022"", ""collected_by"": ""Ashlee Prejean""}",Shewanella oneidensis MR-1,strain,The metadata explicitly lists the 'host' as 'Shewanella oneidensis MR-1'.,,metadata,True,mesophile,,,,False,TMP_results/accessions/YCQ78089/library/accession_lit,3,TMP_results/accessions/YCQ78089/library/host_lit,10,430.71,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalMetadataVote"", ""ClassifyThermalLiteratureVotes"", ""ClassifyThermalRangeHostLiterature"", ""ClassifyThermalForcedVote""]","{""CreateAccessionLibrary"": 20.62, ""ClassifyHostMetadata"": 2.22, ""ClassifyThermalMetadataVote"": 2.72, ""ClassifyThermalLiteratureVotes"": 147.6, ""ClassifyThermalRangeHostLiterature"": 224.13, ""ClassifyThermalForcedVote"": 4.46}",False,,,,,"{'thermophile': 0, 'psychrophile': 0, 'mesophile': 3, 'none': 0}",TMP_results/accessions/YCQ78089/reasoning/reasoning.txt,
gemma4:e4b,YCQ76618,Shewanella phage Hypnos,"{""uid"": ""3153809076"", ""accession"": ""YCQ76618"", ""title"": ""recombination and repair protein UvsX [Shewanella phage Hypnos]"", ""organism"": ""Shewanella phage Hypnos"", ""taxonId"": 3591861, ""sequence_length"": 386, ""create_date"": ""2026/02/03"", ""update_date"": ""2026/02/03"", ""dbsource"": ""insd"", ""extra"": ""gi|3153809076|gb|YCQ76618.1|"", ""host"": ""Shewanella oneidensis MR-1"", ""country"": ""USA: WWTP, Anahuac, TX"", ""isolation_source"": ""activated sludge"", ""collection_date"": ""2024"", ""collected_by"": ""Ashlee Prejean""}",Shewanella oneidensis MR-1,strain,The metadata explicitly states the 'host' as 'Shewanella oneidensis MR-1'.,,metadata,True,mesophile,,,,False,TMP_results/accessions/YCQ76618/library/accession_lit,0,TMP_results/accessions/YCQ76618/library/host_lit,10,243.39999999999998,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalMetadataVote"", ""ClassifyThermalLiteratureVotes"", ""ClassifyThermalRangeHostLiterature"", ""ClassifyThermalForcedVote""]","{""CreateAccessionLibrary"": 4.78, ""ClassifyHostMetadata"": 2.26, ""ClassifyThermalMetadataVote"": 2.62, ""ClassifyThermalLiteratureVotes"": 0.04, ""ClassifyThermalRangeHostLiterature"": 199.89, ""ClassifyThermalForcedVote"": 4.95}",False,,,,,"{'thermophile': 0, 'psychrophile': 0, 'mesophile': 3, 'none': 0}",TMP_results/accessions/YCQ76618/reasoning/reasoning.txt,
gemma4:e4b,P04529,Tequatrovirus T4,"{""uid"": ""14917058"", ""accession"": ""P04529"", ""title"": ""RecName: Full=Recombination and repair protein"", ""organism"": ""Tequatrovirus T4"", ""taxonId"": 10665, ""sequence_length"": 391, ""create_date"": ""1987/08/13"", ""update_date"": ""2026/01/28"", ""dbsource"": ""swiss_prot"", ""extra"": ""gi|14917058|sp|P04529.2|UVSX_BPT4"", ""host"": ""Escherichia coli""}",Escherichia coli,species,The metadata explicitly states 'host': 'Escherichia coli'.,,metadata,True,mesophile,,,,False,TMP_results/accessions/P04529/library/accession_lit,1,TMP_results/accessions/P04529/library/host_lit,9,185.37,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalMetadataVote"", ""ClassifyThermalLiteratureVotes"", ""ClassifyThermalRangeHostLiterature"", ""ClassifyThermalForcedVote""]","{""CreateAccessionLibrary"": 13.27, ""ClassifyHostMetadata"": 1.91, ""ClassifyThermalMetadataVote"": 2.48, ""ClassifyThermalLiteratureVotes"": 3.22, ""ClassifyThermalRangeHostLiterature"": 138.56, ""ClassifyThermalForcedVote"": 3.63}",False,,,,,"{'thermophile': 0, 'psychrophile': 0, 'mesophile': 1, 'none': 1}",TMP_results/accessions/P04529/reasoning/reasoning.txt,
gemma4:e4b,YCL39723,Aeromonas phage pAQF2A-18ST,"{""uid"": ""3140602750"", ""accession"": ""YCL39723"", ""title"": ""recombination protein UvsX RecA [Aeromonas phage pAQF2A-18ST]"", ""organism"": ""Aeromonas phage pAQF2A-18ST"", ""taxonId"": 3570246, ""sequence_length"": 364, ""create_date"": ""2026/01/17"", ""update_date"": ""2026/01/17"", ""dbsource"": ""insd"", ""extra"": ""gi|3140602750|gb|YCL39723.1|"", ""host"": ""Aeromonas veronii GDQ25F2A"", ""isolation_source"": ""water""}",Aeromonas veronii GDQ25F2A,strain,The metadata explicitly states the 'host' as 'Aeromonas veronii GDQ25F2A'.,,metadata,True,mesophile,,,,False,TMP_results/accessions/YCL39723/library/accession_lit,5,TMP_results/accessions/YCL39723/library/host_lit,10,369.47999999999996,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalMetadataVote"", ""ClassifyThermalLiteratureVotes"", ""ClassifyThermalRangeHostLiterature"", ""ClassifyThermalForcedVote""]","{""CreateAccessionLibrary"": 27.53, ""ClassifyHostMetadata"": 2.28, ""ClassifyThermalMetadataVote"": 2.36, ""ClassifyThermalLiteratureVotes"": 121.38, ""ClassifyThermalRangeHostLiterature"": 183.58, ""ClassifyThermalForcedVote"": 4.19}",False,,,,,"{'thermophile': 0, 'psychrophile': 0, 'mesophile': 6, 'none': 0}",TMP_results/accessions/YCL39723/reasoning/reasoning.txt,
gemma4:e4b,YCL15783,Escherichia phage BASUE2,"{""uid"": ""3140421276"", ""accession"": ""YCL15783"", ""title"": ""protein RecA [Escherichia phage BASUE2]"", ""organism"": ""Escherichia phage BASUE2"", ""taxonId"": 3242823, ""sequence_length"": 361, ""create_date"": ""2026/01/14"", ""update_date"": ""2026/01/14"", ""dbsource"": ""insd"", ""extra"": ""gi|3140421276|gb|YCL15783.1|"", ""host"": ""Escherichia coli"", ""note"": ""lytic"", ""country"": ""India: Patna"", ""isolation_source"": ""cattle farm sewage"", ""collection_date"": ""2020"", ""collected_by"": ""Anjay""}",Escherichia coli,species,The metadata explicitly contains the key 'host' with the value 'Escherichia coli'.,,metadata,True,mesophile,,,,False,TMP_results/accessions/YCL15783/library/accession_lit,1,TMP_results/accessions/YCL15783/library/host_lit,9,283.49,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalMetadataVote"", ""ClassifyThermalLiteratureVotes"", ""ClassifyThermalRangeHostLiterature"", ""ClassifyThermalForcedVote""]","{""CreateAccessionLibrary"": 19.48, ""ClassifyHostMetadata"": 2.03, ""ClassifyThermalMetadataVote"": 2.52, ""ClassifyThermalLiteratureVotes"": 37.8, ""ClassifyThermalRangeHostLiterature"": 188.3, ""ClassifyThermalForcedVote"": 4.83}",False,,,,,"{'thermophile': 0, 'psychrophile': 0, 'mesophile': 3, 'none': 0}",TMP_results/accessions/YCL15783/reasoning/reasoning.txt,
gemma4:e4b,YCL00421,Staphylococcus phage EFLK1_S,"{""uid"": ""3140192963"", ""accession"": ""YCL00421"", ""title"": ""recA DNA recombination protein [Staphylococcus phage EFLK1_S]"", ""organism"": ""Staphylococcus phage EFLK1_S"", ""taxonId"": 3477141, ""sequence_length"": 415, ""create_date"": ""2026/01/13"", ""update_date"": ""2026/01/13"", ""dbsource"": ""insd"", ""extra"": ""gi|3140192963|gb|YCL00421.1|"", ""host"": ""Staphylococcus aureus"", ""country"": ""Egypt"", ""isolation_source"": ""raw sewage"", ""collection_date"": ""15-Oct-2024""}",Staphylococcus aureus,species,The metadata explicitly contains the key 'host' with the value 'Staphylococcus aureus'.,,metadata,True,mesophile,,,,False,TMP_results/accessions/YCL00421/library/accession_lit,1,TMP_results/accessions/YCL00421/library/host_lit,8,212.17000000000002,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalMetadataVote"", ""ClassifyThermalLiteratureVotes"", ""ClassifyThermalRangeHostLiterature"", ""ClassifyThermalForcedVote""]","{""CreateAccessionLibrary"": 14.82, ""ClassifyHostMetadata"": 2.03, ""ClassifyThermalMetadataVote"": 2.44, ""ClassifyThermalLiteratureVotes"": 25.7, ""ClassifyThermalRangeHostLiterature"": 140.15, ""ClassifyThermalForcedVote"": 4.26}",False,,,,,"{'thermophile': 0, 'psychrophile': 0, 'mesophile': 2, 'none': 1}",TMP_results/accessions/YCL00421/reasoning/reasoning.txt,
gemma4:e4b,YCJ26573,Escherichia phage PG3,"{""uid"": ""3137130861"", ""accession"": ""YCJ26573"", ""title"": ""putative DNA recombination and repair protein RecA [Escherichia phage PG3]"", ""organism"": ""Escherichia phage PG3"", ""taxonId"": 3489668, ""sequence_length"": 393, ""create_date"": ""2026/01/05"", ""update_date"": ""2026/01/05"", ""dbsource"": ""insd"", ""extra"": ""gi|3137130861|gb|YCJ26573.1|"", ""lab_host"": ""Escherichia coli DH5alpha"", ""country"": ""Argentina: Tandil, Buenos Aires"", ""isolation_source"": ""bovine feces"", ""collection_date"": ""19-Oct-2021"", ""collected_by"": ""Ana Elisa Juarez and Paula Maria Alejandra Lucchesi""}",Escherichia coli DH5alpha,strain,The metadata explicitly states 'lab_host': 'Escherichia coli DH5alpha'.,,metadata,True,mesophile,,,,False,TMP_results/accessions/YCJ26573/library/accession_lit,5,TMP_results/accessions/YCJ26573/library/host_lit,10,663.7399999999999,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalMetadataVote"", ""ClassifyThermalLiteratureVotes"", ""ClassifyThermalRangeHostLiterature"", ""ClassifyThermalForcedVote""]","{""CreateAccessionLibrary"": 28.34, ""ClassifyHostMetadata"": 2.15, ""ClassifyThermalMetadataVote"": 2.61, ""ClassifyThermalLiteratureVotes"": 256.93, ""ClassifyThermalRangeHostLiterature"": 330.82, ""ClassifyThermalForcedVote"": 6.16}",False,,,,,"{'thermophile': 0, 'psychrophile': 0, 'mesophile': 3, 'none': 0}",TMP_results/accessions/YCJ26573/reasoning/reasoning.txt,
