model,accession,phage,metadata,host,taxonomic_level,host_reasoning,host_confidence,host_source,host_found,thermal_range,temperature,thermal_reasoning,thermal_confidence,thermal_found,paper_dir,paper_dir_size,host_paper_dir,host_paper_dir_size,duration,decision,nodes,timings,JSONDecodeError,summary_file,relevant_accession_papers,relevant_accession_dir_size,relevant_host_papers,relevant_host_dir_size,error_message
gemma4:e4b,YDI88709,Escherichia phage phiM,"{""uid"": ""3234272369"", ""accession"": ""YDI88709"", ""title"": ""RecA-like recombination protein [Escherichia phage phiM]"", ""organism"": ""Escherichia phage phiM"", ""taxonId"": 3687983, ""sequence_length"": 390, ""create_date"": ""2026/03/13"", ""update_date"": ""2026/03/13"", ""dbsource"": ""insd"", ""extra"": ""gi|3234272369|gb|YDI88709.1|"", ""host"": ""Escherichia coli"", ""country"": ""China: Tianjin"", ""collection_date"": ""Oct-2023""}",Escherichia coli,species,The metadata explicitly contains the key 'host' with the value 'Escherichia coli'.,,metadata,True,mesophile,,"The first paper explicitly states the organism was maintained under 'standard physiological conditions, with an optimal growth temperature of 37°C' and the 'overall context is the physiological environment of the human body, making the organism functionally mesophilic for therapeutic application.' The second paper also heavily features 37°C as a key incubation temperature. While the third paper suggests psychrophilic adaptation due to its Antarctic source and testing at -80°C, the majority of the detailed, functional evidence (Papers 1 and 2) points strongly to an optimal growth temperature of 37°C, which is the defining characteristic of a mesophile. Therefore, mesophile is the best classification based on the bulk of the provided data.",,True,TMP_results/accessions/YDI88709/library/accession_lit,5,TMP_results/accessions/YDI88709/library/host_lit,10,533.0899999999999,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 27.1, ""ClassifyHostMetadata"": 5.31, ""FilterRelevantLiterature"": 168.28, ""FilterRelevantHostLiterature"": 219.98, ""ClassifySummary"": 4.66}",False,TMP_results/accessions/YDI88709/summary/summary.txt,[],0,"['PMC13170677.1.txt', 'PMC13168922.1.txt', '42131215.txt']",3,
gemma4:e4b,YDD38469,Escherichia phage vB_EcoM-DCSW23lw,"{""uid"": ""3196707878"", ""accession"": ""YDD38469"", ""title"": ""recombination protein [Escherichia phage vB_EcoM-DCSW23lw]"", ""organism"": ""Escherichia phage vB_EcoM-DCSW23lw"", ""taxonId"": 3685830, ""sequence_length"": 393, ""create_date"": ""2026/02/28"", ""update_date"": ""2026/02/28"", ""dbsource"": ""insd"", ""extra"": ""gi|3196707878|gb|YDD38469.1|"", ""lab_host"": ""Escherichia coli O157:H7 ATCC43888"", ""country"": ""USA: Davis City"", ""isolation_source"": ""sewage water""}",Escherichia coli O157:H7 ATCC43888,strain,The metadata explicitly states 'lab_host': 'Escherichia coli O157:H7 ATCC43888'.,,metadata,True,mesophile,,"Several papers provide evidence pointing towards mesophilic characteristics. Specifically:
1. PMC13153029.1.txt: Shows stability across 4°C to 50°C, and the optimal growth temperature is 37°C, which is characteristic of mesophiles.
2. PMC11312844.1.txt: States the optimal growth temperature is 37°C, which is the classic mesophilic optimum.
3. PMC12548472.1.txt: Mentions incubation at 37°C, indicating mesophilic growth.
4. PMC11137056.1.txt: Uses 37°C for bacterial culture/phage propagation, which is mesophilic.

While some papers show cold tolerance (4°C) or higher heat tolerance (up to 50°C or 60°C), the most frequently cited and optimal growth temperature (37°C) strongly suggests a mesophilic classification. The evidence is not exclusively psychrophilic (which implies optimal growth at low temps) or thermophilic (which implies optimal growth at high temps).",,True,TMP_results/accessions/YDD38469/library/accession_lit,5,TMP_results/accessions/YDD38469/library/host_lit,9,501.09,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 17.16, ""ClassifyHostMetadata"": 2.54, ""FilterRelevantLiterature"": 53.31, ""FilterRelevantHostLiterature"": 158.89, ""ClassifySummary"": 9.35}",False,TMP_results/accessions/YDD38469/summary/summary.txt,"['41942208.txt', '42023893.txt', '41990421.txt', 'PMC13153029.1.txt']",4,"['12553989.txt', 'PMC11312844.1.txt', 'PMC12548472.1.txt', 'PMC11854576.1.txt', 'PMC11137056.1.txt', 'PMC11148006.1.txt']",6,
gemma4:e4b,YCR04191,Escherichia phage vB_EcoM_PhiSG_Ec1,"{""uid"": ""3156920341"", ""accession"": ""YCR04191"", ""title"": ""recombination and repair protein [Escherichia phage vB_EcoM_PhiSG_Ec1]"", ""organism"": ""Escherichia phage vB_EcoM_PhiSG_Ec1"", ""taxonId"": 3681726, ""sequence_length"": 393, ""create_date"": ""2026/02/04"", ""update_date"": ""2026/02/04"", ""dbsource"": ""insd"", ""extra"": ""gi|3156920341|gb|YCR04191.1|"", ""host"": ""Escherichia coli MCC2246"", ""country"": ""India: Mangalagiri, Andhra Pradesh"", ""isolation_source"": ""sewage"", ""collection_date"": ""10-Mar-2025"", ""collected_by"": ""Petchiyammal S""}",Escherichia coli MCC2246,strain,The metadata explicitly states the 'host' as 'Escherichia coli MCC2246'.,,metadata,True,mesophile,,"The summary from PMC11895373.1.txt explicitly states: 'The phage is characterized as mesophilic based on its optimal growth temperature of 37°C.' Furthermore, the optimal growth temperature of 37°C is the classic benchmark for mesophilic organisms, and the stability tests confirm performance around this range (stable at 4°C, optimal at 37°C, decline at 60°C).",,True,TMP_results/accessions/YCR04191/library/accession_lit,2,TMP_results/accessions/YCR04191/library/host_lit,6,262.51,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 18.19, ""ClassifyHostMetadata"": 2.24, ""FilterRelevantLiterature"": 89.94, ""FilterRelevantHostLiterature"": 52.82, ""ClassifySummary"": 3.99}",False,TMP_results/accessions/YCR04191/summary/summary.txt,['PMC6394723.1.txt'],1,"['42131215.txt', 'PMC11895373.1.txt']",2,
gemma4:e4b,YCQ78089,Shewanella phage Persephone,"{""uid"": ""3153849337"", ""accession"": ""YCQ78089"", ""title"": ""UvsX recombination and repair protein [Shewanella phage Persephone]"", ""organism"": ""Shewanella phage Persephone"", ""taxonId"": 3591870, ""sequence_length"": 393, ""create_date"": ""2026/02/03"", ""update_date"": ""2026/02/03"", ""dbsource"": ""insd"", ""extra"": ""gi|3153849337|gb|YCQ78089.1|"", ""host"": ""Shewanella oneidensis MR-1"", ""country"": ""USA: College Station, TX"", ""isolation_source"": ""WWTP influent"", ""collection_date"": ""2022"", ""collected_by"": ""Ashlee Prejean""}",Shewanella oneidensis MR-1,strain,The metadata explicitly lists the 'host' as 'Shewanella oneidensis MR-1'.,,metadata,True,psychrophile,,"The first paper (PMC3446801.1.txt) provides the strongest evidence for psychrophilic adaptation. It explicitly mentions: 1) Samples collected in Antarctic coastal surface waters with recorded temperatures of $-1.73^	ext{o}	ext{C}$ (winter) and $2.2^	ext{o}	ext{C}$ (summer). 2) The metaproteomic data indicate the presence of organisms capable of functioning across a broad temperature range, including psychrophilic adaptations (e.g., the $-2^	ext{o}	ext{C}$ to $28^	ext{o}	ext{C}$ range mentioned). 3) The overall context is adaptation to cold, high-latitude conditions. While other papers suggest mesophilic conditions (e.g., $30^	ext{o}	ext{C}$ or $37^	ext{o}	ext{C}$), the most detailed and specific evidence pointing to adaptation to near-freezing temperatures comes from the Antarctic study, classifying it as psychrophilic.",,True,TMP_results/accessions/YCQ78089/library/accession_lit,3,TMP_results/accessions/YCQ78089/library/host_lit,10,732.28,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 22.18, ""ClassifyHostMetadata"": 2.28, ""FilterRelevantLiterature"": 146.45, ""FilterRelevantHostLiterature"": 193.75, ""ClassifySummary"": 9.04}",False,TMP_results/accessions/YCQ78089/summary/summary.txt,"['PMC3446801.1.txt', 'PMC10820777.1.txt']",2,"['PMC13066108.1.txt', 'PMC13021941.1.txt', '42068295.txt', 'PMC12786374.1.txt', 'PMC13067785.1.txt', '42048286.txt', '42025877.txt', '42049747.txt', 'PMC12866739.1.txt']",9,
gemma4:e4b,YCQ76618,Shewanella phage Hypnos,"{""uid"": ""3153809076"", ""accession"": ""YCQ76618"", ""title"": ""recombination and repair protein UvsX [Shewanella phage Hypnos]"", ""organism"": ""Shewanella phage Hypnos"", ""taxonId"": 3591861, ""sequence_length"": 386, ""create_date"": ""2026/02/03"", ""update_date"": ""2026/02/03"", ""dbsource"": ""insd"", ""extra"": ""gi|3153809076|gb|YCQ76618.1|"", ""host"": ""Shewanella oneidensis MR-1"", ""country"": ""USA: WWTP, Anahuac, TX"", ""isolation_source"": ""activated sludge"", ""collection_date"": ""2024"", ""collected_by"": ""Ashlee Prejean""}",Shewanella oneidensis MR-1,strain,The metadata explicitly states the 'host' as 'Shewanella oneidensis MR-1'.,,metadata,True,mesophile,,"Multiple papers report optimal or primary growth temperatures around 30°C or 37°C. 
- PMC13066108.1.txt: States 'Optimal growth temperature: 30°C' and 'Mesophilic growth: Implied by the optimal growth temperature of 30°C.'
- PMC13021941.1.txt: Reports 'optimal and primary growth temperature was 30°C.'
- PMC12786374.1.txt: Notes 'optimal temperatures noted at 37 °C for cytochrome expression and 30 °C for flavin secretion measurements.'
- PMC12866739.1.txt: Notes 'optimal temperature of 37°C' and 'The operational temperature suggests mesophilic growth conditions were utilized.'
Since 30°C and 37°C fall within the typical range for mesophiles (generally 20°C to 45°C), and no evidence points to extreme cold (psychrophile) or extreme heat (thermophile), the evidence overwhelmingly suggests mesophilic adaptation.",,True,TMP_results/accessions/YCQ76618/library/accession_lit,0,TMP_results/accessions/YCQ76618/library/host_lit,10,458.84999999999997,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 6.85, ""ClassifyHostMetadata"": 2.27, ""FilterRelevantLiterature"": 0.0, ""FilterRelevantHostLiterature"": 192.79, ""ClassifySummary"": 8.83}",False,TMP_results/accessions/YCQ76618/summary/summary.txt,[],0,"['PMC13066108.1.txt', 'PMC13021941.1.txt', '42068295.txt', 'PMC12786374.1.txt', 'PMC13067785.1.txt', '42048286.txt', '42025877.txt', '42049747.txt', 'PMC12866739.1.txt']",9,
gemma4:e4b,P04529,Tequatrovirus T4,"{""uid"": ""14917058"", ""accession"": ""P04529"", ""title"": ""RecName: Full=Recombination and repair protein"", ""organism"": ""Tequatrovirus T4"", ""taxonId"": 10665, ""sequence_length"": 391, ""create_date"": ""1987/08/13"", ""update_date"": ""2026/01/28"", ""dbsource"": ""swiss_prot"", ""extra"": ""gi|14917058|sp|P04529.2|UVSX_BPT4"", ""host"": ""Escherichia coli""}",Escherichia coli,species,The metadata explicitly states 'host': 'Escherichia coli'.,,metadata,True,mesophile,,"The first paper explicitly states the organism was maintained at an 'optimal growth temperature of 37°C' and that the 'overall context is the physiological environment of the human body, making the organism functionally mesophilic for therapeutic application.' The second paper also centers around 37°C for initial growth. While the third paper shows adaptation to cold (-80°C, Antarctic source), the majority of the detailed physiological context (Papers 1 and 2) points strongly to human body temperature (37°C), which defines a mesophile. Therefore, the majority evidence points to mesophily.",,True,TMP_results/accessions/P04529/library/accession_lit,1,TMP_results/accessions/P04529/library/host_lit,10,354.3,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 14.63, ""ClassifyHostMetadata"": 1.93, ""FilterRelevantLiterature"": 2.17, ""FilterRelevantHostLiterature"": 221.69, ""ClassifySummary"": 4.45}",False,TMP_results/accessions/P04529/summary/summary.txt,[],0,"['PMC13170677.1.txt', 'PMC13168922.1.txt', '42131215.txt']",3,
gemma4:e4b,YCL39723,Aeromonas phage pAQF2A-18ST,"{""uid"": ""3140602750"", ""accession"": ""YCL39723"", ""title"": ""recombination protein UvsX RecA [Aeromonas phage pAQF2A-18ST]"", ""organism"": ""Aeromonas phage pAQF2A-18ST"", ""taxonId"": 3570246, ""sequence_length"": 364, ""create_date"": ""2026/01/17"", ""update_date"": ""2026/01/17"", ""dbsource"": ""insd"", ""extra"": ""gi|3140602750|gb|YCL39723.1|"", ""host"": ""Aeromonas veronii GDQ25F2A"", ""isolation_source"": ""water""}",Aeromonas veronii GDQ25F2A,strain,The metadata explicitly states the 'host' as 'Aeromonas veronii GDQ25F2A'.,,metadata,True,mesophile,,"The most detailed paper (PMC13029702.1.txt) explicitly states that the bacterial hosts were incubated at 37 °C, and the 'Mesophilic growth' section notes: 'The bacterial hosts were incubated at 37 °C, indicating mesophilic growth conditions for the bacterial component.' While other papers mention ranges (e.g., 10–50 °C in PMC12837969.1.txt), the clearest and most direct evidence pointing to a specific growth condition is the 37 °C incubation for the bacterial component in the first summary.",,True,TMP_results/accessions/YCL39723/library/accession_lit,5,TMP_results/accessions/YCL39723/library/host_lit,10,579.86,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 22.9, ""ClassifyHostMetadata"": 2.3, ""FilterRelevantLiterature"": 113.95, ""FilterRelevantHostLiterature"": 159.62, ""ClassifySummary"": 7.0}",False,TMP_results/accessions/YCL39723/summary/summary.txt,"['42043570.txt', 'PMC13029702.1.txt', 'PMC12837969.1.txt', 'PMC13041473.1.txt', '42126281.txt']",5,"['PMC13162912.1.txt', 'PMC13164679.1.txt', '42119747.txt', '42113058.txt', '42126281.txt', 'PMC13162921.1.txt']",6,
gemma4:e4b,YCL15783,Escherichia phage BASUE2,"{""uid"": ""3140421276"", ""accession"": ""YCL15783"", ""title"": ""protein RecA [Escherichia phage BASUE2]"", ""organism"": ""Escherichia phage BASUE2"", ""taxonId"": 3242823, ""sequence_length"": 361, ""create_date"": ""2026/01/14"", ""update_date"": ""2026/01/14"", ""dbsource"": ""insd"", ""extra"": ""gi|3140421276|gb|YCL15783.1|"", ""host"": ""Escherichia coli"", ""note"": ""lytic"", ""country"": ""India: Patna"", ""isolation_source"": ""cattle farm sewage"", ""collection_date"": ""2020"", ""collected_by"": ""Anjay""}",Escherichia coli,species,The metadata explicitly contains the key 'host' with the value 'Escherichia coli'.,,metadata,True,mesophile,,"The majority of the papers (PMC12977953.1.txt and PMC13170677.1.txt) point towards mesophilic characteristics. PMC12977953.1.txt explicitly states: ""Mesophilic growth: Indicated by optimal viability range (25–42°C) and assessment at 37°C."" and ""The overall profile suggests mesophilic characteristics"". PMC13170677.1.txt focuses on ""optimal and tested growth temperature of 37°C"" and the ""human body/in vivo environment,"" which are classic mesophilic conditions. While one paper (42131215.txt) suggests psychrophilic adaptation from an Antarctic source, the overall trend across the provided summaries leans heavily towards mesophily based on optimal growth/viability temperatures (37°C) and environmental context (sewage/human body).",,True,TMP_results/accessions/YCL15783/library/accession_lit,1,TMP_results/accessions/YCL15783/library/host_lit,10,442.31,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 19.17, ""ClassifyHostMetadata"": 2.04, ""FilterRelevantLiterature"": 37.35, ""FilterRelevantHostLiterature"": 219.87, ""ClassifySummary"": 6.54}",False,TMP_results/accessions/YCL15783/summary/summary.txt,['PMC12977953.1.txt'],1,"['PMC13170677.1.txt', 'PMC13168922.1.txt', '42131215.txt']",3,
gemma4:e4b,YCL00421,Staphylococcus phage EFLK1_S,"{""uid"": ""3140192963"", ""accession"": ""YCL00421"", ""title"": ""recA DNA recombination protein [Staphylococcus phage EFLK1_S]"", ""organism"": ""Staphylococcus phage EFLK1_S"", ""taxonId"": 3477141, ""sequence_length"": 415, ""create_date"": ""2026/01/13"", ""update_date"": ""2026/01/13"", ""dbsource"": ""insd"", ""extra"": ""gi|3140192963|gb|YCL00421.1|"", ""host"": ""Staphylococcus aureus"", ""country"": ""Egypt"", ""isolation_source"": ""raw sewage"", ""collection_date"": ""15-Oct-2024""}",Staphylococcus aureus,species,The metadata explicitly contains the key 'host' with the value 'Staphylococcus aureus'.,,metadata,True,mesophile,,"The most relevant paper for microbial growth conditions is PMC13168843.1.txt. This paper reports that 'Incubation for bacterial growth was at $37^{\circ}\text{C}$ for $24 \text{ h}$' and mentions human-associated microorganisms like *Streptococcus macacae* and *Lactococcus hircilactis* (from Paper 42131905.txt). The temperature of $37^{\circ}\text{C}$ is the standard optimal growth temperature for most human pathogens and commensals, which are classified as mesophiles. Although no explicit classification is given, the use of $37^{\circ}\text{C}$ strongly suggests mesophilic conditions for the tested bacteria.",,True,TMP_results/accessions/YCL00421/library/accession_lit,1,TMP_results/accessions/YCL00421/library/host_lit,10,452.91,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 10.2, ""ClassifyHostMetadata"": 2.05, ""FilterRelevantLiterature"": 22.63, ""FilterRelevantHostLiterature"": 191.26, ""ClassifySummary"": 5.86}",False,TMP_results/accessions/YCL00421/summary/summary.txt,[],0,"['42131905.txt', 'PMC13168371.1.txt', 'PMC13168843.1.txt', 'PMC13170662.1.txt', 'PMC13169061.1.txt', 'PMC13169451.1.txt']",6,
gemma4:e4b,YCJ26573,Escherichia phage PG3,"{""uid"": ""3137130861"", ""accession"": ""YCJ26573"", ""title"": ""putative DNA recombination and repair protein RecA [Escherichia phage PG3]"", ""organism"": ""Escherichia phage PG3"", ""taxonId"": 3489668, ""sequence_length"": 393, ""create_date"": ""2026/01/05"", ""update_date"": ""2026/01/05"", ""dbsource"": ""insd"", ""extra"": ""gi|3137130861|gb|YCJ26573.1|"", ""lab_host"": ""Escherichia coli DH5alpha"", ""country"": ""Argentina: Tandil, Buenos Aires"", ""isolation_source"": ""bovine feces"", ""collection_date"": ""19-Oct-2021"", ""collected_by"": ""Ana Elisa Juarez and Paula Maria Alejandra Lucchesi""}",Escherichia coli DH5alpha,strain,The metadata explicitly states 'lab_host': 'Escherichia coli DH5alpha'.,,metadata,True,mesophile,,"The most frequently cited optimal or tested growth temperatures across the papers are 25°C, 26°C, 28°C, 30°C, and 35°C, with one paper citing 37°C. These temperatures fall squarely within the typical range for mesophiles (generally 20°C to 45°C). While 37°C is the optimal temperature for human pathogens (like those isolated from chicken bile), the overall pattern of tested conditions (25°C-30°C) points away from extreme cold (psychrophile) or extreme heat (thermophile). Therefore, mesophile is the best inference based on the collective data.",,True,TMP_results/accessions/YCJ26573/library/accession_lit,5,TMP_results/accessions/YCJ26573/library/host_lit,9,773.3799999999999,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 34.54, ""ClassifyHostMetadata"": 2.14, ""FilterRelevantLiterature"": 249.82, ""FilterRelevantHostLiterature"": 266.92, ""ClassifySummary"": 5.38}",False,TMP_results/accessions/YCJ26573/summary/summary.txt,"['PMC12388829.1.txt', 'PMC12413314.1.txt']",2,"['PMC13119680.1.txt', '42012074.txt', 'PMC13099358.1.txt']",3,
