accession,tOPT,TM
YDI88709,37,67
YDD38469,38,68
YCR04191,38,68
YCQ78089,38,67
YCQ76618,40,67
P04529,42,65
YCL39723,36,67
YCL15783,41,69
YCL00421,33,63
YCJ26573,38,68
YCJ26308,38,68
YCJ17403,35,64
WIL02624,41,69
WIL02365,41,69
YCB26705,38,68
YCB25778,37,68
YCB15776,39,69
YCA88998,41,69
WRQ12700,37,66
YBW68348,38,67
YBW02273,34,64
XKC24455,47,71
UGC96822,34,65
YBB95084,40,69
YAW78710,53,71
UCR81688,38,68
WNM70829,41,69
YP_013606416,33,63
XZP17675,41,69
XCZ64124,40,69
XEN39446,38,65
XYS98208,38,67
XYR95885,78,77
XYR95683,78,77
XYM58971,77,76
XYM58736,58,72
XYM57640,62,72
XXS07581,38,69
XXQ04733,53,73
XSG53046,45,67
XXL68479,38,67
XXJ63011,40,69
XXJ62871,37,66
XVB94676,38,68
XAN60209,41,69
XRM24437,34,65
XQU42776,38,68
XQU63049,55,74
XQU59788,31,66
XQU49485,37,66
XQQ51888,38,68
XQQ51607,38,69
XQQ51411,38,68
XQQ50854,40,69
XQP02554,49,71
XQO94789,31,67
XPP60222,40,72
XPO97844,38,68
XPN62819,37,66
XOT39798,40,69
XOS70336,39,69
XOS69840,45,68
XOS57001,44,64
XOS32638,43,67
XOS28573,43,67
XOS28292,43,67
XOS25364,41,69
XOS13405,43,67
XOS10110,45,70
XOS08265,42,66
XOR85385,44,67
XOR28499,42,67
XOQ94942,43,67
XOE95119,70,77
XOD41043,39,67
XOD32333,37,67
XOD32076,38,68
XOD31821,38,68
XOD31540,38,68
XOA07903,37,68
XLQ30668,44,68
XMR90074,38,68
XBS49454,46,72
XMR01857,43,73
XMR01270,46,72
XDR01266,37,68
XLY77758,37,67
WGJ78542,49,72
XLQ29474,38,68
XLM56194,49,69
XBA89584,37,68
XLL18380,38,68
XLG26096,49,71
XAG94916,41,69
XKC24153,37,67
XKC18358,49,71
XIJ69057,45,71
XHH74879,38,69
WVX87167,37,68
UYL22564,38,66
XEN22024,42,67
XEN13287,42,67
XDQ96444,38,69
XDQ96182,38,69
WNO24027,33,67
XDJ03295,37,68
XDJ00286,35,65
XDG31042,37,68
WZW73058,37,68
WNM73345,42,67
XAI71116,38,67
