uid,accession,title,organism,taxonId,sequence_length,create_date,update_date,dbsource,extra,host,culture_collection,country,isolation_source,collection_date,collected_by,isolate,metagenome_source,lat_lon,lab_host,strain,gb_acronym,note,chromosome,altitude,identified_by,old_name,clone,clone_lib,bio_material,old_lineage,segment,acronym,synonym,pathovar,genotype,type,haplogroup,serovar,haplotype,gb_synonym
20141288,P32270,RecName: Full=ATP-dependent DNA helicase dda; AltName: Full=DNA 5'-3' helicase Dda,Tequatrovirus T4,10665,439,1993/10/01,2026/01/28,swiss_prot,gi|20141288|sp|P32270.2|DDA_BPT4,Escherichia coli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130906,P20315,RecName: Full=DNA helicase/primase; AltName: Full=DNA 3'-5' helicase/primase Gp4; AltName: Full=Gene product 4; Short=Gp4,Enterobacteria phage T3,10759,566,1991/02/01,2026/01/28,swiss_prot,gi|130906|sp|P20315.1|HELIC_BPT3,Escherichia coli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2316707609,UYE93698,DNA primase/helicase-like protein [Ralstonia phage 10RS305A],Ralstonia phage 10RS305A,2985651,559,2022/10/19,2026/03/18,insd,gi|2316707609|gb|UYE93698.1|,Ralstonia solanacearum,CCTCC:M 2020945,China,soil,2020,,,,,,,,,,,,,,,,,,,,,,,,,,
3241100321,YDI96965,RecA protein [Staphylococcus phage SAP24],Staphylococcus phage SAP24,3687987,74,2026/03/14,2026/03/14,insd,gi|3241100321|gb|YDI96965.1|,Staphylococcus aureus SADYY69 (clinical isolate),,,wastewater from Kasetsart University Veterinary Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,
3241099946,YDI96730,RecA protein [Staphylococcus phage SAP02],Staphylococcus phage SAP02,3687986,77,2026/03/14,2026/03/14,insd,gi|3241099946|gb|YDI96730.1|,Staphylococcus aureus SADYY69 (clinical isolate),,,wastewater from Kasetsart University Veterinary Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,
3239826791,YDI94796,RecA-like DNA recombinase [Stenotrophomonas phage Solingen],Stenotrophomonas phage Solingen,3683886,240,2026/03/14,2026/03/14,insd,gi|3239826791|gb|YDI94796.1|,Stenotrophomonas maltophilia,,USA,Melbourne waste water,2022,WA,,,,,,,,,,,,,,,,,,,,,,,,,
3239826198,YDI94551,RecA-like DNA recombinase [Stenotrophomonas phage Siegen],Stenotrophomonas phage Siegen,3683884,371,2026/03/14,2026/03/14,insd,gi|3239826198|gb|YDI94551.1|,Stenotrophomonas maltophilia,,USA,wastewater,2022,TB,,,,,,,,,,,,,,,,,,,,,,,,,
3239784473,YDI93881,DNA binding protein uvsX [Pseudomonas phage Dresden],Pseudomonas phage Dresden,3686212,479,2026/03/14,2026/03/14,insd,gi|3239784473|gb|YDI93881.1|,Pseudomonas aeruginosa,,USA,Melbourne waste water,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
3234272369,YDI88709,RecA-like recombination protein [Escherichia phage phiM],Escherichia phage phiM,3687983,390,2026/03/13,2026/03/13,insd,gi|3234272369|gb|YDI88709.1|,Escherichia coli,,China: Tianjin,,Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
3137086898,YCJ21993,DNA primase/helicase [Pseudomonas phage PyoPredator-2025],Pseudomonas phage PyoPredator-2025,3692544,620,2026/01/04,2026/03/06,insd,gi|3137086898|gb|YCJ21993.1|,Pseudomonas aeruginosa,,"China: Zhengzhou, Henan",Jinshui River water,2025-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,
3205323443,YDF88887,MAG: Ref-like RecA filament endonuclease [Caudoviricetes sp.],Caudoviricetes sp.,2832643,117,2026/03/04,2026/03/04,insd,gi|3205323443|gb|YDF88887.1|,Entomomonas sp.,,Belgium,Apis mellifera gut (ileum),12-Oct-2020,,BPhage_k1oq,insect metagenome,51.074 N 3.576 E,,,,,,,,,,,,,,,,,,,,,,
3205315612,YDF81549,MAG: Ref-like RecA filament endonuclease [Caudoviricetes sp.],Caudoviricetes sp.,2832643,91,2026/03/04,2026/03/04,insd,gi|3205315612|gb|YDF81549.1|,,,Netherlands,Apis mellifera gut (rectum),20-Oct-2020,,BPhage_nd9i,insect metagenome,51.655 N 5.637 E,,,,,,,,,,,,,,,,,,,,,,
3205309866,YDF76131,MAG: Ref-like RecA filament endonuclease [Caudoviricetes sp.],Caudoviricetes sp.,2832643,117,2026/03/04,2026/03/04,insd,gi|3205309866|gb|YDF76131.1|,Entomomonas sp.,,Portugal,Apis mellifera gut (rectum),10-Mar-2020,,BPhage_9m8L,insect metagenome,41.1545749 N 7.6942246 W,,,,,,,,,,,,,,,,,,,,,,
3205309646,YDF75915,MAG: RecA filament binding protein DinI [Caudoviricetes sp.],Caudoviricetes sp.,2832643,81,2026/03/04,2026/03/04,insd,gi|3205309646|gb|YDF75915.1|,Erwinia sp.,,Portugal,Apis mellifera gut (midgut),24-Oct-2020,,BPhage_1fyw,insect metagenome,41.1545749 N 7.6942246 W,,,,,,,,,,,,,,,,,,,,,,
3205304067,YDF71083,MAG: Ref-like RecA filament endonuclease [Caudoviricetes sp.],Caudoviricetes sp.,2832643,117,2026/03/04,2026/03/04,insd,gi|3205304067|gb|YDF71083.1|,Entomomonas sp.,,Portugal,Apis mellifera gut (rectum),24-Oct-2020,,BPhage_1sdi,insect metagenome,41.1545749 N 7.6942246 W,,,,,,,,,,,,,,,,,,,,,,
3205301360,YDF68759,MAG: RecA filament binding protein DinI [Caudoviricetes sp.],Caudoviricetes sp.,2832643,82,2026/03/04,2026/03/04,insd,gi|3205301360|gb|YDF68759.1|,Escherichia sp.,,Germany,Apis mellifera gut (rectum),27-Mar-2020,,BPhage_1ouf,insect metagenome,51.505321 N 11.942084 E,,,,,,,,,,,,,,,,,,,,,,
3205300560,YDF68054,MAG: Ref-like RecA filament endonuclease [Caudoviricetes sp.],Caudoviricetes sp.,2832643,115,2026/03/04,2026/03/04,insd,gi|3205300560|gb|YDF68054.1|,Gilliamella sp.,,Switzerland,Apis mellifera gut (midgut),22-Oct-2020,,BPhage_rpw1,insect metagenome,46.967 N 7.397 E,,,,,,,,,,,,,,,,,,,,,,
3205293337,YDF61728,MAG: Ref-like RecA filament endonuclease [Caudoviricetes sp.],Caudoviricetes sp.,2832643,92,2026/03/04,2026/03/04,insd,gi|3205293337|gb|YDF61728.1|,,,Belgium,Apis mellifera gut (midgut),06-Apr-2020,,BPhage_iqte,insect metagenome,51.074 N 3.576 E,,,,,,,,,,,,,,,,,,,,,,
3196707878,YDD38469,recombination protein [Escherichia phage vB_EcoM-DCSW23lw],Escherichia phage vB_EcoM-DCSW23lw,3685830,393,2026/02/28,2026/02/28,insd,gi|3196707878|gb|YDD38469.1|,,,USA: Davis City,sewage water,,,,,,Escherichia coli O157:H7 ATCC43888,,,,,,,,,,,,,,,,,,,,,
3196362547,YDD21067,protein UvsX-like recombinase [Acinetobacter phage phiAR002],Acinetobacter phage phiAR002,3477138,505,2026/02/28,2026/02/28,insd,gi|3196362547|gb|YDD21067.1|,Acinetobacter baumannii PT61,,,wastewater,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060193475,BHD21371,DNA primase/helicase [Alcaligenes phage SRA-1],Alcaligenes phage SRA-1,3459510,620,2025/09/05,2026/02/19,insd,gi|3060193475|dbj|BHD21371.1|,Alcaligenes faecalis,,Iran,,2023-07-09,,,,,,SRA-1,,,,,,,,,,,,,,,,,,,,
3178605412,YCZ41734,RecA filament binding protein DinI [Klebsiella phage RSU-F2K2-2],Klebsiella phage RSU-F2K2-2,3477606,77,2026/02/14,2026/02/17,insd,gi|3178605412|gb|YCZ41734.1|,Klebsiella pneumoniae,,Latvia: Riga,hospital wastewater,06-Feb-2024,Nikola Brauca,,,,,,,,,,,,,,,,,,,,,,,,,
2037097486,QVG64171,putative DNA primase/helicase [Acinetobacter phage Herod],Acinetobacter phage Herod,2801402,678,2021/05/18,2026/02/11,insd,gi|2037097486|gb|QVG64171.1|,Acinetobacter baumannii strain KZ-1106,,Russia,sewage water,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
3156920341,YCR04191,recombination and repair protein [Escherichia phage vB_EcoM_PhiSG_Ec1],Escherichia phage vB_EcoM_PhiSG_Ec1,3681726,393,2026/02/04,2026/02/04,insd,gi|3156920341|gb|YCR04191.1|,Escherichia coli MCC2246,,"India: Mangalagiri, Andhra Pradesh",sewage,10-Mar-2025,Petchiyammal S,,,,,,,,,,,,,,,,,,,,,,,,,
3155105174,YCQ84975,RecA protein [Staphylococcus phage SAP15],Staphylococcus phage SAP15,3672055,77,2026/02/03,2026/02/03,insd,gi|3155105174|gb|YCQ84975.1|,Staphylococcus aureus SADYY47 (clinical strain),,,wastewater from Kasetsart University Veterinary Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,
3153849337,YCQ78089,UvsX recombination and repair protein [Shewanella phage Persephone],Shewanella phage Persephone,3591870,393,2026/02/03,2026/02/03,insd,gi|3153849337|gb|YCQ78089.1|,Shewanella oneidensis MR-1,,"USA: College Station, TX",WWTP influent,2022,Ashlee Prejean,,,,,,,,,,,,,,,,,,,,,,,,,
3153809076,YCQ76618,recombination and repair protein UvsX [Shewanella phage Hypnos],Shewanella phage Hypnos,3591861,386,2026/02/03,2026/02/03,insd,gi|3153809076|gb|YCQ76618.1|,Shewanella oneidensis MR-1,,"USA: WWTP, Anahuac, TX",activated sludge,2024,Ashlee Prejean,,,,,,,,,,,,,,,,,,,,,,,,,
